sid;uid;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;npos;nneu;nneg;form3;form2;form1;form0;comment8;comment18;dur0;dur1;dur2;dur3;dur4;dur5;datetime;
07150237;;-3;-2;-3; 0;+2;-2;+1;+5;+2;+1;+3; 0;+3;+4;+2;+1;+1;-5; 0;+1; 0;-1;-2;-1;-4;-1;+2;-2;-1; 0;-4;-2;-3;-1;+2; 0;+1;+3;-1;+4; 0;12;23;6;123;1;2;1;(s8) max test 2;(s18) max test 2;127;31;71;5;8;13;2016-07-15 02:37:51;
07151050;;-3;+3;+4;+5;+2;+1;+3;-2;-3;-5;+1; 0;+2;+4; 0; 0;+2;+1;+2; 0;+3;-1; 0;-4; 0;-1;-2;+1;-3;-2;+1;-1;-1;-2;+1;-4;-1;+2;-1; 0;-2;12;19;10;Max;0;4;0;(s4) hoffentlich;(s10) nöh;637;257;293;5;60;22;2016-07-15 10:50:58;
07151103;;-3;-2;+4; 0;-1;+2;-5; 0;+1;-1;+2;+1;-4;+3;-1;-3;+1;-4;-2;-2;+5; 0;-1;-2; 0;+1;+2;+1; 0;-1;+2;+4;-2;+3;+2;+1;-1;+3; 0; 0;-3;18;10;13;Max;1;4;0;(s21) pff;(s7) pff2;694;351;308;6;17;10;2016-07-15 11:03:00;
07150128;; 0;+1;-1; 0;-2;+1;-1;+1;-1;-1; 0;+1;-1;-2;+1;+3;+2;-2;+2; 0; 0;+3;+5;-1;-2;-5;+4;+4;+1;-3;-3;-4; 0;-3; 0;-2;+2;+2;+3;+2;-4;21;11;9;23;1;2;1;(s23) Monetäre Anreize bilden sehr gut den eigenen Wert ab und ermöglichen es den betroffenen Personen Anerkennung zu erlangen;(s26) Ein befristeter Arbeitsvertrag bedeutet Zukunftsunsicherheit und Belastung/Stress.;623;198;278;20;103;24;2016-07-15 13:28:34;
07150130;;-2;+1;-3;+5;-1; 0; 0;-1;-3;+2;+1;-2;+4;-4;+1;-1;+4; 0;-1;+2;+1;+3;+3;+1; 0;-4;-2; 0;+3;+2;-2;-1;+2;-5;+1; 0;-1;+2;-2;-3; 0;21;10;10;22;0;3;1;(s4) Da man die meiste Zeit seines Lebens am Arbeitsplatz verbringt und man seine Lebenszeit nicht sinnlos gestalten will;(s34) Ich möchte nicht, das die Arbeit mein gesamtes Leben bestimmt und möchte nicht krank werden durch Stress,...(burn-out);709;234;230;68;125;51;2016-07-15 13:30:08;
07150135;;-3; 0;-2;-1;-2;+2;-4; 0;+1;-4; 0;-1;+3;-2;+1;-3; 0;-1;-5;+1;+1;+5;+1;-1;+1;+2;+3;+4;+4; 0;-2; 0; 0;-2;+3;-3;+2;+2;-1;+2;-1;9;11;21;15;1;2;0;(s22) Es wird immer wichtiger soziale kompetenzen zu zeigen und sich im unternehmen mit jedem gut zu stellen;(s19) Ich denke dass in den meisten unternehmen das arbeitsumfeld  vorgegeben sein wird;858;277;393;38;132;19;2016-07-15 13:35:26;
07150136;;+3;-1;-3;+3; 0;+1;+1; 0;-2;-1;-1;+1;-3;-5;+2; 0;+4; 0; 0; 0;+2;+2;+1;-3;+2;-1;-4;-4;+4;+5;-2;-1;-1; 0;+2;-2;+1;+1;+3;-2;-2;20;14;7;6;0;3;0;(s30) Im Berufsleben ist vieles geregelt. Freizeit sollte dem Zweck dienen ein Kontrastprogramm zu diesem vorgegebenen Berufsalltag zu schaffen und somit seinem Körper eine Ruhephase zusprechen zu können.;(s14) Arbeit sollte nicht als der zentrale Lebensinhalt definiert werden und somit sollte das Leben nicht an der Arbeit komplett orientiert werden. Aus diesem Grund ist es nicht erstrebenswert die Motivation des Lebens der Arbeit zuzuschreiben.;1019;225;329;33;393;39;2016-07-15 13:36:05;
07150137;;+2;+1;-5;+4;+3; 0; 0;-1;+1;-2;-1; 0;+1;-2;+2; 0;+5;+1;-1;-1; 0;+2;+3;-1;+1;-4;-4;-3;+3;+2;-2;-3;+1;-2;-2;-1; 0;+4;+2; 0;-3;23;7;11;18;0;4;0;(s17) Es ist wichtig respektiert zu werden und die vollbrachte Arbeit dementsprechende gewürdigt wird;(s3) Arbeit und Freizeit lassen sich in meinem späteren Job nicht so einfach trennen;1133;463;467;15;153;36;2016-07-15 13:37:22;
07150137;; 0;-1;+1; 0;+1;+2;+1; 0;+1;-1;+4;-4;-2;-5;+2;-1; 0;-2;-4;-1;+2;-1;-1;+3;-2; 0;+3;+4; 0;+5;-3;-3;-3;+3;+1;-2;+2;+1;+2; 0;-2;17;5;19;11;1;2;0;(s30) Struktur sehe ich in meinem (wahrscheinlichen) zukünftigen Arbeitsleben als äußerst wichtig an. Umso wichtiger wird es für mich dann, die verbleibende Freizeit spontan gestalten zu können.;(s14) Arbeit ist eine notwendige Tätigkeit in unsere Gesellschaft, um ein Leben nach seinen Interessen gestalten zu können. Wenn ich jedoch die frei Wahl hätte, würde ich mein Leben für andere Tätigkeiten verwenden als arbeiten.;1168;449;481;11;199;28;2016-07-15 13:37:54;
07150140;;+3;+4; 0;-4;+2;+1; 0;+3;-2;+5;-1;+1;-2;-5;+2;-2;+1;+2;+3;+1;-1; 0;-3; 0; 0;+2;-3; 0; 0;-1;-2;-1;+2;-4;-1;-1;+1;+1;+4;-3;-2;19;10;12;16;0;4;0;(s10) Je nach den persönlichen Ansprüchen, arbeitet man um monetär entlohnt zu werden und einen angestrebten Lebensstil führen kann;(s14) Ich lebe um zu LEBEN und nicht um zu arbeiten;1264;504;584;12;132;31;2016-07-15 13:40:12;
07150141;;-1;+3;-4;+1; 0; 0; 0;+2; 0; 0;-4;+1;+3;-2;+1;-3;+2;-1;+1;+2;+1;+5;+4;-2;+2;-2;-2;+1; 0; 0;-3;-3;+2;-5;-2;-1;-1;+4;+3;-1;-1;23;7;11;10;0;3;0;(s22) das sind meine persönlichen skills, daher ist mir das wichtig;(s34) führt zu dauerstress und angst nicht richtig zu funktionieren, sollte nicht vorkommen;1367;447;826;9;55;29;2016-07-15 13:41:32;
07150142;;+2;+4;-3;+3;-3;+2;+1;-1;+3;-3;-4;+5;-2;-1;+2; 0;+1; 0; 0;+1;+3;+4;+1; 0;+2;-2; 0;-1; 0;+1;-1;-2; 0;-5;-2;-4;-1;+1;+2;-2;-1;18;10;13;20;0;3;1;(s12) Das liegt daran, dass ich genau da hin will. Selbstständig sein und ein eigenes Unternehmen gründen, bei dem ich meine Interessen und Ideen verfolgen kann.;(s34) Ich würde einem Job nicht nachgehen, bei dem ich das Gefühl hätte, ständig hinterherzuhinken.;1545;396;607;33;464;47;2016-07-15 13:42:55;
07150142;;-2;+1; 0;+1;+4;+2;-3;+3;-1;+3;+1;-1;-2; 0;+3;+4;-1;-5; 0;-3;+5;+2; 0;-4;-2;+1;-1;-1;-2;-2;+2;-3; 0;+2;-1;+2;+1; 0;+1; 0;-4;24;8;9;19;1;3;1;(s21) Die Ausführung der Arbeit ist dem Arbeitenden selbst überlassen. Das Unternehmen interessiert sich primär für die Ergebnisse. Dadurch wird auch ermöglicht, dass jeder Mensch seine eigene Arbeitsweise ausüben kann.;(s18) Ich gehe davon aus, dass man in seinem Arbeitsleben sehr flexibel sein muss. Unternehmen werden sich ständig verändern, genauso wie die Arbeit. Auch für den eigenen Lebenslauf wird es wichtig sein, sich mit unterschiedlichen Aufgabenbereichen und unterschiedlichen Berufsbereichen auseinanderzusetzen.;1041;266;402;106;238;29;2016-07-15 13:42:56;
07150143;;-3;+1;-2;+2;-1; 0;+1;+1;-2; 0;-1;-1;-1;-5;+1;-2;+3;+2;-1;+4;+1;+5; 0;+1;+3;-4;-3;+3;+4;+2;-2;-2; 0;-3;+2; 0;+2; 0; 0;-4;-1;24;2;15;12;0;2;1;(s22) Nur als Team kann man Ziele erreichen. Um erfolgreiche Arbeit zu leisten muss man sich am Arbeitsplatz wohlfühlen. Um sich wohlzufühlen sollte man Probleme von Mitarbeitern erkennen und sich mit ihren Schwierigkeiten auseinandersetzen.;(s14) Ich arbeite um zu leben. Arbeiten ist ein Teilbereich des Lebens aber nicht der eigentliche Kern.;1448;542;616;53;211;26;2016-07-15 13:43:01;
07150143;;+3;+3;-4; 0;-2; 0;+1; 0;-3;-3;-3;+2;-1;-2;+1;+2;+1;+3;+4;-1;+2;+4;+1;-1;-1;-2; 0; 0;+2;+1;-4;-2;+2;-5; 0; 0;-1;+5;+1;-2;-1;17;14;10;2;0;3;1;(s38) Zukunftssicherung \nErnährung der Familie und Lebensalltag bestreiten;(s34) Belastung, Burn out, Depressionen;1530;674;626;16;157;57;2016-07-15 13:43:32;
07150143;; 0;+4;-2;+1;+1;-3;+1;+2;-1;-1;-2;-1;-1;-4;+3; 0;+5; 0; 0;+2;+2;+3;+2; 0;+4;-3;-5;-2;+3;-2;-4;-2;+1;-3; 0;-1;+1;+2;+1;-1; 0;21;10;10;8;0;3;1;(s17) Wertschätzung und Vielfältigkeit der Aufgaben/Lösungsfindung/Herausforderungen (auch als Ansprechpartner für mehrere Thematiken ausgewählt zu werden) empfinde ich als wünschenswert für meine berufliche Karriere, um es mit dem privaten Leben auch vereinen zu können.;(s27) Ich bestimme den Preis meiner Leistung. Das wäre wünschenswert. (Natürlich in einem gewissen Rahmen);1568;376;714;28;384;67;2016-07-15 13:43:46;
07150143;;-2; 0;-4;+4;+1;+1;-1;+2;+1;+2;+2;-2;-1;-5;+1; 0; 0; 0;-1;+2;-1;+2;+3;+3;+1;-1;-1;+3;+5;+1;-2;-4;-3;-3;-2;-2; 0; 0;+4;-3; 0;15;16;10;9;1;3;1;(s29) In meiner Freizeit möchte ich nichts mit meiner Arbeit zu tun haben. \nAuch wenn ich es wichtig finde einen Job zu haben der mir Spaß macht und den ich gerne ausführe (da er auch ein großer Bestandteil des Lebens ist). Dennoch lebe ich nicht um zu arbeiten, sondern arbeite um mir mein Leben zu finanzieren. Deshalb möchte ich außerhalb meiner Arbeit nichts mir ihr zu tun haben und mein Leben auch noch mit anderen Dingen als Arbeit füllen.;(s14) In meiner Freizeit möchte ich nichts mit meiner Arbeit zu tun haben. \nAuch wenn ich es wichtig finde einen Job zu haben der mir Spaß macht und den ich gerne ausführe (da er auch ein großer Bestandteil des Lebens ist). Dennoch lebe ich nicht um zu arbeiten, sondern arbeite um mir mein Leben zu finanzieren. Deshalb möchte ich außerhalb meiner Arbeit nichts mir ihr zu tun haben und mein Leben auch noch mit anderen Dingen als Arbeit füllen.;1503;364;874;31;191;43;2016-07-15 13:43:51;
07150144;;+3; 0;-1;+2;-1;+2;+1;-1;+1;-2; 0;-3;+4;-5;+4;+3;+2; 0;-4;+1;-3;+3; 0;-1;+2;-1;-2;-3;+1;+5;-2;-1; 0;+1; 0;-4;+1;+2;-2; 0;-2;13;16;12;6;1;3;0;(s30) siehe a);(s14) siehe a);408;148;196;5;47;12;2016-07-15 13:44:15;
07150144;;-1;-4;-2;+5;-3;-1;+1;+4;-2;+2;+1;+1; 0;-5;+3;-3;+2;-2;-2;+2;+4;+3; 0;-2;+2;-1;-4;-3; 0; 0; 0;-1; 0;+1;+1;-1;+3; 0;+2;+1;-1;22;7;12;25;1;2;0;(s4) Ich denke nicht dass ich für etwas arbeiten würde, indem ich keinen Sinn sehe. Davor würde ich mir etwas neues suchen, auch wenn ich dafür abstriche an meinem lebensstil in Kauf nehmen müsste.;(s14) Ich habe viel zu viele Interessen die in zukunft fortbestehen werden, die nichts mit Arbeit zutun haben.;1436;434;484;125;362;32;2016-07-15 13:44:54;
07150145;;+1;+5; 0;+4; 0;-1;+3;-1;-4;+2;-1;+4;+2;-2;-2;-1; 0;+1;+3;+3;+2;+1;+2;-3;-2; 0;-3; 0;+2;+1;-1;-3; 0;-4; 0;-5;+1;+1;-1;-2;-2;17;8;16;Sabine;0;4;1;(s2) Jenseits vom Schielen auf Drittmitteltöpfe, Vorgaben der Uni, Lehrverpflichtungen: das wäre schön!;(s36) Nör, heißt übersetzt für die Uni: blödsinnig "Wettbewerbsvorgaben" in einem Bereich, der keinen solchen unterliegen sollte.;617;219;263;27;95;13;2016-07-15 13:45:32;
07150145;;-2;-1;-5;+4;+1;+1;-4;+2;-2; 0;+1;-1;-3;-2;+1;+3; 0; 0;-3;-1;+3;+3;+2;+2;-1;-3;+1;+2;+5;+4;-2;-2;-4;+1;+2; 0; 0;-1;-1; 0; 0;18;15;8;22;1;3;1;(s29) Da sowieso wenig Freizeit vorhanden sein wird, ist es wichtig, dass man in dieser Zeit komplett abschalten kann und Dinge tun kann, die nichts mit der Arbeit zu tun haben....v.a. auch Menschen treffen, die man evtl. unter der Woche nicht sehen kann und Dinge ausüben, für die man sonst wenig Zeit hat.;(s3) Jeder kann zB durch die Wahl seiner Position bis zu einem gewissen Grad dafür sorgen, dass das Arbeitsleben das Privatleben nicht überschattet und einnimmt. Jeder ist also selber für die Unterscheidung verantwortlich.\nWenn keine Unterscheidung Sinn geben würde, würden die psychischen Belastungerkrankungen zunehmen, Arbeitnehmer würden kündigen und eine produktive Arbeitswelt wäre nichtmehr möglich.;848;317;263;5;242;21;2016-07-15 13:45:39;
07150147;;-2;+2;-2;+3;+1;-1;+1;+1;-1;-1;-3; 0;+1;-5;+3;-1;+5;-2;+2; 0;+3;+4;+1;-1;+2;-3;-2; 0;+4; 0;-1;-4; 0;-4;+2; 0;+1;+2; 0;-2;-3;22;7;12;7;1;2;0;(s17) An wichtigster Stelle steht für mich das Wohlbefinden am Arbeitsplatz. Dafür ist es wichtig, vom gesamten Unternehmen anerkannt zu werden. Hierzu zählen neben der Arbeitsleistung auch Persönlichkeit und gute Kommunikation mit Kollegen.;(s14) Ziel in meinem Leben ist nicht, es komplett für der Arbeit zu widmen. Vielmehr sollten sich Arbeit und Freizeit/ Familie in einem gesunden Gleichgewicht befinden. So kann die höchste Lebensqualität erreicht werden.;1733;474;739;57;445;18;2016-07-15 13:47:03;
07150147;;-4;+2; 0;-2;+2; 0;-1; 0; 0;+1;-1;+3;-3;-2;+1;+1; 0;+2; 0;-2;+4;+1;+1;+2;-1; 0;-3;-5;+2;+1;-1;-2;+3;-1;-1;+3;-2;-4;+5;+4;-3;21;9;11;13;1;2;0;(s39) durch Spaß bei der Arbeit kann mich sich schnell dafür begeistern und vergisst dabei die Zeit um sich herum;(s28) meines Erachtens lässt sich die geleistete Arbeit nicht am Nutzen anderer bemessen. Da Nutzen für jedes Individuum was anderes bedeutet;1765;812;681;52;173;47;2016-07-15 13:47:57;
07150149;;+1; 0;-5;+3;+3; 0;+4;+1; 0;-2;-2;-1;+4;-2;-1;-1;+1; 0; 0;+2;+1;+2;+1;-1;+2;-4; 0;-2;+5;+3;-2;-3;+1;-3;+2;-4; 0;+2;-1;-1;-3;14;13;14;15;0;2;0;(s29) Mir ist wichtig dass der lebensmittelpunkt nicht im  unternehmen liegt.;(s3) Ich würde arbeit und freizeit am liebsten konsequent trennen;504;215;193;10;70;16;2016-07-15 13:49:01;
07150150;;+1;+1;-2;-1; 0;+1;-3;+2; 0;+5;+2; 0;-2;-5;+2;+3; 0;+4;-2;-3; 0;+1; 0;+3;+1; 0;+2;-1;-3;-2;-2;-1;+1;-1;-1;+4;-1;-4;+3;+2;-4;22;5;14;16;1;4;0;(s10) siehe Durchgang a);(s14) Siehe Durchgang a);562;300;199;5;29;29;2016-07-15 13:50:30;
07150152;;+2;-3;-2;+2; 0;+1;+2;+3;-2; 0;-1;+1;-1;-5;+1;-2;+1; 0;+2;+1;-2;+4; 0;+4; 0;-3;-1;-1;-1;+1; 0;-4;+2;-2;+3;-1;+5; 0;+3;-4;-3;25;7;9;5;0;3;0;(s37) Getreu dem Motto in einem gesunden Körper lebt ein gesunder Geist , gelingt es mir durch eine gute körperliche Fitness mit den Strapazen der Arbeit gut zu recht zu kommen . Ein hohes Maß an Ausdauer und die damit verbundene Konzentrationsfähigkeit spielen einer sehr große Rolle bei der Bewältigung seiner Arbeitsaufgaben.;(s14) Das Leben besteht aus mehr als nur Arbeit , sicherlich nimmt die Arbeit im späteren Berufsleben ein großen Teil des Lebens ein, aber meiner Meinung nach sollte jeder Mensch versuchen sein persönliches Glück unabhängig von Erfolg und Misserfolg in der Arbeit machen und in klare Fokussierung auf Familie und soziale Beziehungen legen. Ich lebe um zu arbeiten stellt für mich daher eher eine Zusammenhang dazu her , dass man sein Leben nur über die Arbeit definiert und nicht über das was einen persönlich wirklich ausmacht .;967;216;200;6;509;36;2016-07-15 13:52:26;
07150153;; 0;-3;-5;-1;+1;+3;-3;+2;-1; 0;-1; 0;-4; 0;+3;+1;-1; 0;-3;+1;+2;+5;+4;+1;+2;-2;+1;+2;+4;+2;-2;-2; 0;-1;-2;-1;+1;-4;+3;-2; 0;17;10;14;10;1;3;0;(s22) sehr wichtige eigenschaften im arbeitsleben, werden es immer sein und werden es immer bleiben;(s3) arbeit und freizeit sollte man immer trennen können, sehr wichtiger aspekt im arbeitsleben, wenn man das nicht trennen kannn wird man ständig zu arg psychischen belastungen ausgesetzt, dauerstress, identifikation mit arbeit auf dauer schlecht;698;318;239;6;93;42;2016-07-15 13:53:28;
07150153;;-3;+1;-1;+1;-1;+1; 0;+3;+3;+2;+4;-2;-4;-2;+2;+5; 0;-5;-3; 0;+1;-1;-1; 0;+2;+2;+1;+3;-2; 0;-2;-2;-4;+2;-1;-1; 0; 0;+4;+1;-3;19;10;12;18;1;4;0;(s16) Bei Aufstieg während der Berufslaufbahn setzt sich auch nur der "Beste" durch -> Anerkennung von Leistung und Leistungsvermögen;(s18) Aus Karriere Gründen ist es wichtig in verschiedenen Unternehmen zu arbeiten, auch legen sich Unternehmen heute ungern auf längere Arbeitsverhältnisse fest.;955;465;330;3;141;15;2016-07-15 13:53:44;
07150154;;+1;+1;-3;+5;+2;+2; 0;+1; 0; 0;-2;+3;+3;-5;+1;-1;+1;-1;-1;+1;+3; 0;-3;-1; 0;-2;-3;-1;+4;+4; 0;-4;+2;-2;+2;-2;-1; 0;+2;-2;-4;24;6;11;11;0;2;0;(s4) Da meine Arbeit viel Zeit meines zukünftigen Lebens in Anspruch nehmen wird, ist es für mich von höchster Bedeutung, dass ich einen Sinn in dem sehe, was ich bei meiner Arbeit machen werde.;(s14) Arbeit wird zwangsläufig ein wichtiger Bestandteil meines Lebens werden, jedoch ist es für mich von höchster Priorität, dass sie nicht der Sinn meines Lebens wird.;804;259;304;4;223;14;2016-07-15 13:54:17;
07150156;;-2;-1;-2;+4;+3;+2;-5;+1; 0;-1;+1;-3;-3;-2;+2;+3; 0;-1;-3;-1; 0; 0;-4; 0;-4;+2;+5;+4; 0;+1;-2;-1;-2;+2;+1;+2;+1; 0;+1;+3;-1;20;9;12;8;1;3;1;(s27) Meiner Meinung nach (leider) jetzt schon das vorherrschende Prinzip.;(s7) Die Aufgaben wachsen, die Anzahl der Mitarbeiter nicht.;695;299;236;9;133;18;2016-07-15 13:56:01;
07150156;;-1;+1;-3;+1;+3; 0; 0;+2;+1;-2;+2;-2;-1;-5;+1;+2;+3;-1; 0;+2;+4;+3;+1;+1;-1;-2;-4; 0;+5; 0;-3;-4;-2;-3; 0;-2;-1;+2;+4; 0;-1;21;9;11;9;0;3;1;(s29) In meiner Freizeit möchte ich nichts mit meiner Arbeit zu tun haben. \nAuch wenn ich es wichtig finde einen Job zu haben der mir Spaß macht und den ich gerne ausführe (da er auch ein großer Bestandteil des Lebens ist). Dennoch lebe ich nicht um zu arbeiten, sondern arbeite um mir mein Leben zu finanzieren. Deshalb möchte ich außerhalb meiner Arbeit nichts mir ihr zu tun haben und mein Leben auch noch mit anderen Dingen als Arbeit füllen.;(s14) In meiner Freizeit möchte ich nichts mit meiner Arbeit zu tun haben. \nAuch wenn ich es wichtig finde einen Job zu haben der mir Spaß macht und den ich gerne ausführe (da er auch ein großer Bestandteil des Lebens ist). Dennoch lebe ich nicht um zu arbeiten, sondern arbeite um mir mein Leben zu finanzieren. Deshalb möchte ich außerhalb meiner Arbeit nichts mir ihr zu tun haben und mein Leben auch noch mit anderen Dingen als Arbeit füllen.;696;279;322;11;58;26;2016-07-15 13:56:11;
07150159;;-2; 0;-1; 0;+1;+3;-2;+3;-3;-3;-2;-5;-1;-4;+1;+1;-2;+2;-4;+2;+1;+2; 0;+3;-1; 0;+1; 0;-1;-1;-2;-1; 0;+4;+2;+2;+1;-3;+4;+5; 0;7;13;21;2;1;3;1;(s40) Heutzutage zählt oft nur noch die Leistung, man muss funktionieren und kann sich keine Fehler leisten, da man austauschbar ist;(s12) In solch eine Position werde ich nicht kommen.;843;367;319;4;140;14;2016-07-15 13:59:16;
07150200;;-2; 0;-3;+2;-1; 0;+1;+1;-1;+1;-2;+1; 0;-5;+2; 0;+2;+3;-2;+2; 0;+3; 0;+4;+4;-3;-2;-2;+5;+3;-4;-3;-1;-4;+1; 0;+1;+2;-1;-1;-1;20;8;13;25;0;2;0;(s29) Ich habe viele Hobbies, das ist mir das wichtigste.;(s14) Ich würde mir wünschen in meiner arbeit aufzuleben, jedoch nur für die arbeit zu leben sehe ich als kritisch an.;816;290;376;4;121;25;2016-07-15 14:00:04;
07150200;;-1;+1;-4;+5;+1;-1;+4;+1;-2;-4;-3; 0;+2;-1; 0; 0;+3;+1; 0;+2;+1;+3;+2;-3; 0;-2;-2;+3;+4;-1;-1;-2; 0;-5;+2;-1; 0;+2;+1;-3;-2;24;4;13;19;0;3;1;(s4) Die Arbeit sollte auch in Zukunft Spaß machen und mir das Gefühl geben, dass sie wichtig ist. Ich will sie nicht nur machen, um mir meinen Lebensunterhalt zu verdienen, sondern auch das Gefühl haben, dass sie wichtig ist und anderen nutzt.;(s34) Ich wünsche mir, dass ich meine Arbeit auch in Zukunft gut bewältigen kann. Ich möchte zwar gefordert sein, aber dabei nicht ständig unter Zeit- und Leistungsdruck stehen.;906;303;250;113;222;17;2016-07-15 14:00:48;
07150202;;-3;-1; 0;+1;+1; 0; 0;-2; 0;+1;+2;+5;-4;-5;+3;-1;+2;-2;-1;+1;+3;+4;+2;+3;-1;-3;+2;-2;-1;+1; 0;-1; 0;-4;-2;-3;+2;+1;-2;+4; 0;12;16;13;20;1;3;1;(s12) Wie auch schon bei dem anderen Durchgang, ist die Wahrscheinlichkeit dafür, dass ich mein eigener Chef, in meinem Fall, meine eigene Chefin, sein werde, sehr hoch. Das liegt daran, dass ich den Plan der Selbstständigkeit schon sehr lange verfolge und mich auch nicht davon abbringen lassen werde.;(s14) Egal ob ich zufrieden oder unzufrieden mit meinem Job, erfolgreich oder nicht erfolgreich bin, in jedem Fall wird die Arbeit nicht an erster Stelle stehen. Natürlich ist die Arbeit wichtig. Man kann sich selbst verwirklichen und stolz auf sich sein. Aber glücklich wird man allein durch Arbeit keinesfalls.;1099;247;259;13;564;17;2016-07-15 14:02:49;
07150203;;-1;+2; 0;+1;+2;-4;+2;-1;-2; 0;-2;+1;+2;-4; 0;-3;+3;+4;+5;+3;-2;+1; 0; 0;+2;-2;-1;-3;+4;-1; 0;-2;+1;-1;-3;-5; 0;+1;+3;+1;-1;21;6;14;13;0;2;0;(s19) Nur wenn dies gewährleistet ist, wird Arbeit produktiv und führt zum gewünschten Erfolg;(s36) Normalerweise sollte die Wettbewerbsfähigkeit eines Unternehmens nicht an einer Person festgemacht werden. Dazu zählen nicht nur die individuellen Abstriche.;848;289;384;3;154;17;2016-07-15 14:03:03;
08221119;;+4;+1;+2;+5;+3;-1; 0;+1;-5;-3;-4;+3;+1;+1;+2; 0;+4;-2;+2; 0;-1;+1;+2;-3; 0;-1;-3;-1; 0;-2;-1;-2;+2;-4; 0; 0;+1;-1;+3;-2;-2;22;3;16;Bernadette;0;4;1;(s4) Es wäre mein Wunsch, möglichst wenig Zeit in Zukunft mit – in meinen Augen – sinnlosen Tätigkeiten zu verbringen, die besser organisiert (oder auch abgeschafft) werden könnten. Ich meine damit klassischerweise Bürokratie/Verwaltung, aber auch Office Politics u.ä.\n"Etwas Sinnvolles" hängt für mich aber auch mit dem Gefühl zusammen, dass Arbeit für einen selbst bedeutsam / erfüllend ist.;(s9) Mein größter Wunsch für (m)eine zukünftige Arbeitswelt wäre es, dass Menschen nicht mehr in so großem Maße unter Druck arbeiten oder lernen müssen. Das funktioniert nämlich nicht und hat verheerende Folgen für die Person selbst, aber auch für die Arbeitswelt (weniger kreativ und risikobereit).;2133;256;1096;6;717;58;2016-08-22 23:19:42;
08221140;;-2;+1;+4;+2;-1;+3;-1;+1;-5;-1;+5; 0;-3;-2;+4;-3;-1;-2;-1;-3; 0;+1;-1;-2; 0;+3;-2; 0; 0; 0;+1;-4;+2;+3;+2;+2;+1;+2;+1; 0;-4;18;5;18;Bernadette;1;4;1;(s11) Ich vermute (leider), dass auch in Zukunft die Vereinbarkeit zwischen Familie und Job schwierig wird. Unter Anderem, weil sich ortsunabhängige Arbeit nicht so schnell bzw. nicht in allen Branchen verbreiten wird, wie es eigentlich möglich wäre.;(s9) Das wird sich sehr wahrscheinlich nicht ändern. .-);1170;268;211;135;534;23;2016-08-22 23:40:33;
